21,25,15,20,28,5
11,39,32,16,14,7
18,31,13,20,32,11
13,18,16,12,14,3
31,9,38,11,33,11
24,1,3,34,33,5
3,22,15,2,25,7
11,18,6,33,38,13
22,2,19,15,35,3
28,34,1,19,20,7
13,27,33,26,38,10
2,12,11,24,23,7
38,35,18,22,19,14
30,15,33,18,3,6
14,21,36,24,13,2
12,10,25,21,4,13
2,9,7,3,24,4
17,16,11,15,28,10
29,13,30,33,9,13
12,10,24,18,3,13
12,28,37,19,15,10
2,1,22,17,6,11
5,11,33,20,6,13
14,34,16,5,39,10
3,5,9,34,6,4
16,4,6,13,28,3
34,38,31,19,4,13
19,36,33,11,27,12
7,24,23,17,28,3
23,6,30,26,25,7
29,12,36,10,22,14
36,35,10,34,32,12
12,18,24,27,32,7
32,24,22,10,16,4
11,32,27,4,10,8
21,22,14,4,29,9
30,23,13,32,28,7
18,29,37,16,27,5
38,5,16,37,3,9
21,12,39,3,10,1
22,10,19,33,13,11
18,30,33,13,15,7
16,8,14,3,4,5
36,22,12,11,9,5
15,5,17,1,32,9
21,26,7,15,32,5
19,25,23,30,39,11
26,23,22,2,14,4
19,17,10,27,35,2
10,1,25,18,3,2
31,39,29,30,27,8
10,33,19,12,34,3
13,1,23,17,36,13
17,37,24,9,28,5
27,19,37,31,39,8
13,2,37,25,26,1
32,33,14,23,27,5
19,13,34,38,36,5
33,30,8,20,2,14
9,6,32,38,15,7
8,38,23,12,17,5
10,15,12,25,20,3
13,1,35,18,21,8
11,29,6,31,23,12
8,11,4,30,10,11
20,12,19,39,6,11
29,31,25,3,39,4
28,15,33,8,22,12
39,27,30,26,3,6
30,38,4,34,28,11
14,5,24,19,12,1
3,26,31,22,1,3
16,3,4,22,20,5
12,39,4,26,29,7
25,7,17,19,13,2
37,39,5,17,27,13
8,22,6,18,24,14
8,3,34,21,33,6
21,9,35,32,25,13
29,12,13,23,8,13
38,22,13,2,32,9
10,4,20,1,33,13
29,30,11,10,32,14
13,8,25,5,29,12
39,9,36,17,11,13
30,15,8,9,16,7
18,17,3,16,28,11
16,9,33,3,23,14
17,31,36,32,16,6
19,37,15,7,28,4
13,26,16,10,39,12
26,31,38,13,7,6
6,19,13,1,8,13
36,39,13,32,9,8
27,6,20,30,29,5
27,17,21,34,6,3
9,38,18,29,33,10
6,18,5,32,36,4
35,1,2,31,39,13
14,17,5,11,35,8
27,35,26,10,3,4
14,35,2,30,16,13
27,37,16,18,23,13
1,20,39,33,15,5
